location,room_type,bed_type,room_size,ac,attached_bath,parking,kitchen,power_backup,wifi,tv,fridge,wardrobe,study_table,balcony,furnished,rent
Edappally,Studio,Double Bed,240.0,0,0,1,1,0,1,0,1,1,1,1,Unfurnished,28245
Kalamassery,Quad,Queen Bed,373.0,1,1,1,0,0,0,0,0,0,0,1,Unfurnished,32294
Kottayam,Triple,King Bed,361.0,0,0,1,1,1,1,0,0,0,1,0,Unfurnished,27880
Ahmedabad,Master,Single Bed,169.0,0,0,0,1,0,0,1,0,0,0,0,Fully,25433
Pune,Double,No Bed,169.0,0,0,1,0,0,1,0,1,0,0,0,Fully,29535
Changanassery,Quad,Queen Bed,555.0,1,1,0,1,1,0,1,1,0,1,0,Fully,36016
Kalamassery,Triple,Single Bed,325.0,1,0,1,0,1,0,0,0,1,0,0,Semi,23067
Vyttila,Single,King Bed,82.0,0,1,1,1,0,0,0,0,1,1,1,Semi,20824
Kottayam,Master,Queen Bed,160.0,0,0,0,1,0,0,1,1,1,1,0,Fully,21497
Edappally,Studio,Bunk Bed,230.0,0,0,1,1,1,1,1,1,0,1,0,Semi,27438
Fort Kochi,Quad,Bunk Bed,578.0,0,0,1,0,1,1,0,0,0,0,0,Unfurnished,40122
Karukachal,Double,No Bed,156.0,1,0,0,0,0,1,0,0,0,1,1,Unfurnished,12190
Delhi,Quad,Single Bed,448.0,1,0,0,0,1,1,1,1,1,0,0,Semi,48463
Kaloor,Triple,Queen Bed,366.0,1,0,0,1,1,1,1,1,1,1,0,Fully,35887
Kannur,Master,Queen Bed,295.0,1,1,1,0,1,0,1,0,1,0,1,Unfurnished,24141
Kottayam,Triple,Single Bed,436.0,1,1,1,0,1,1,0,1,0,1,1,Fully,30749
Kochi,Single,Queen Bed,103.0,1,0,0,1,0,0,1,1,1,0,0,Unfurnished,15418
Ahmedabad,Single,King Bed,127.0,1,1,0,1,0,1,0,1,0,0,0,Unfurnished,22637
Kochi,Quad,Double Bed,393.0,1,0,1,1,1,0,0,0,1,0,0,Unfurnished,35387
Pune,Single,Double Bed,86.0,1,0,0,0,0,1,0,1,0,1,1,Unfurnished,21071
Delhi,Studio,King Bed,203.0,1,1,0,1,0,0,1,1,0,1,0,Fully,47156
Hyderabad,Triple,King Bed,288.0,0,1,0,1,1,1,1,0,0,1,1,Fully,41497
Hyderabad,Single,Queen Bed,81.0,0,0,1,0,1,1,1,1,1,1,1,Unfurnished,20491
Jaipur,Double,Single Bed,127.0,0,0,0,0,1,1,0,1,0,0,1,Fully,21172
Pathanamthitta,Master,Bunk Bed,152.0,0,0,0,1,0,0,1,1,0,1,1,Unfurnished,13505
Chennai,Triple,Queen Bed,306.0,0,0,1,1,0,1,1,0,1,1,1,Semi,39003
Kochi,Quad,King Bed,373.0,1,0,0,0,1,0,1,1,1,1,1,Fully,40059
Pathanamthitta,Quad,No Bed,435.0,1,1,1,0,0,0,1,0,1,0,0,Fully,26961
Kolkata,Triple,Double Bed,326.0,1,1,0,0,0,0,1,0,0,1,0,Semi,30009
Jaipur,Single,Queen Bed,149.0,0,1,0,0,0,1,1,0,0,0,1,Semi,17503
Delhi,Quad,Queen Bed,405.0,0,1,1,0,0,0,1,0,0,1,1,Fully,53769
Surat,Double,Bunk Bed,221.0,0,0,0,0,1,1,1,0,1,0,1,Unfurnished,19222
Kalamassery,Single,King Bed,146.0,0,1,0,0,1,0,1,1,1,0,1,Unfurnished,17522
Mg Road,Triple,Queen Bed,277.0,0,1,0,0,0,0,0,1,1,1,1,Semi,32136
Changanassery,Triple,Double Bed,320.0,1,0,1,1,1,1,1,0,1,1,1,Semi,26062
Vyttila,Quad,Queen Bed,355.0,0,1,0,0,1,0,0,0,1,0,0,Fully,40697
Pathanamthitta,Quad,Double Bed,569.0,1,0,0,1,0,1,0,0,0,0,1,Fully,28896
Surat,Studio,Single Bed,299.0,1,1,0,0,0,0,1,0,0,0,1,Semi,29149
Trivandrum,Single,Single Bed,123.0,0,0,0,1,0,0,1,0,1,0,1,Semi,12705
Kottayam,Studio,Bunk Bed,331.0,1,1,0,1,1,1,0,1,1,1,1,Semi,27264
Bangalore,Double,Bunk Bed,237.0,1,0,0,0,0,0,1,1,0,0,1,Semi,33219
Hyderabad,Single,Bunk Bed,90.0,0,1,1,1,1,0,1,0,0,0,1,Unfurnished,18580
Palarivattom,Quad,Single Bed,413.0,1,0,0,0,1,1,1,1,0,1,1,Semi,36607
Kozhikode,Double,Single Bed,234.0,1,0,0,1,0,1,0,1,0,0,1,Fully,23398
Vyttila,Quad,King Bed,598.0,0,0,0,1,1,1,0,1,1,0,1,Fully,42408
Palarivattom,Triple,King Bed,352.0,1,0,0,0,0,0,1,0,1,1,1,Semi,34147
Palarivattom,Single,Single Bed,85.0,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,11924
Delhi,Triple,Double Bed,275.0,1,1,1,0,0,1,0,0,1,1,1,Semi,43895
Pathanamthitta,Quad,Double Bed,570.0,0,0,1,1,1,0,0,0,1,0,1,Unfurnished,25271
Thrissur,Double,King Bed,219.0,0,0,0,1,1,0,0,0,1,0,1,Unfurnished,21000
Vyttila,Studio,Queen Bed,335.0,0,0,1,0,1,0,1,0,0,0,0,Fully,31998
Kannur,Quad,King Bed,404.0,0,1,0,0,1,1,1,0,0,0,1,Semi,32736
Kolkata,Double,King Bed,152.0,0,1,0,1,1,0,1,1,1,0,1,Fully,31081
Chennai,Quad,King Bed,413.0,0,0,0,1,0,0,1,0,0,1,0,Fully,48610
Kaloor,Master,Single Bed,155.0,0,0,1,0,1,1,0,0,0,1,1,Semi,20923
Kaloor,Studio,Queen Bed,347.0,0,0,1,0,0,0,1,0,0,1,1,Semi,31794
Kannur,Single,Double Bed,137.0,0,1,0,1,1,0,1,1,1,1,1,Fully,17365
Changanassery,Single,No Bed,117.0,0,0,0,1,0,0,1,0,1,1,1,Fully,12708
Trivandrum,Triple,Queen Bed,441.0,0,1,0,0,0,0,0,1,1,0,0,Unfurnished,26731
Palakkad,Double,Queen Bed,231.0,0,1,1,0,0,0,0,0,1,0,1,Semi,19141
Pala,Double,Queen Bed,135.0,0,0,0,1,0,1,0,0,0,0,0,Semi,14549
Karukachal,Triple,Queen Bed,386.0,0,0,1,0,1,1,0,0,1,1,0,Unfurnished,19344
Fort Kochi,Quad,Single Bed,418.0,1,0,1,0,0,0,1,1,1,1,0,Unfurnished,37324
Delhi,Triple,King Bed,380.0,0,1,1,1,0,0,0,0,0,0,1,Fully,45044
Pala,Triple,No Bed,399.0,0,1,1,1,1,0,1,0,1,1,0,Semi,21628
Fort Kochi,Single,Bunk Bed,85.0,1,0,1,1,1,1,1,0,0,0,0,Unfurnished,15126
Changanassery,Double,Single Bed,202.0,0,1,1,1,1,1,0,0,0,1,0,Semi,15994
Other,Triple,Bunk Bed,272.0,1,0,0,1,0,0,1,0,0,1,0,Semi,23262
Pala,Single,King Bed,100.0,1,0,0,1,0,0,1,0,1,1,1,Semi,16758
Delhi,Triple,Single Bed,275.0,0,0,1,0,1,0,0,0,1,0,0,Fully,36304
Alappuzha,Single,Queen Bed,89.0,0,0,0,0,1,0,0,1,1,0,0,Unfurnished,11365
Kannur,Triple,No Bed,332.0,0,0,0,1,1,0,0,1,0,1,1,Fully,21271
Mg Road,Triple,Single Bed,355.0,1,0,1,1,0,1,0,1,0,0,1,Unfurnished,31707
Palarivattom,Quad,Double Bed,450.0,0,0,1,1,1,1,1,1,1,1,0,Fully,41843
Kaloor,Double,Bunk Bed,237.0,1,0,1,1,0,0,1,0,1,0,1,Unfurnished,20340
Kollam,Master,No Bed,273.0,0,1,1,0,1,1,1,1,1,0,0,Unfurnished,17844
Pune,Double,Single Bed,228.0,1,1,1,0,0,0,1,1,1,0,1,Fully,33675
Pune,Double,King Bed,151.0,1,0,1,0,1,0,0,0,0,1,0,Fully,34893
Bangalore,Master,Double Bed,286.0,0,1,1,1,0,1,1,0,1,0,0,Semi,40765
Palakkad,Single,Double Bed,87.0,1,1,1,1,0,0,1,1,0,0,1,Semi,13870
Vyttila,Single,Bunk Bed,106.0,0,0,1,1,1,1,1,1,0,1,0,Semi,16308
Palarivattom,Double,Single Bed,173.0,1,0,0,0,0,0,1,0,0,1,0,Semi,21635
Karukachal,Single,Queen Bed,146.0,0,0,1,0,0,1,0,0,1,1,0,Unfurnished,10888
Vyttila,Quad,No Bed,369.0,1,0,1,1,1,1,0,1,0,1,1,Semi,37682
Kakkanad,Studio,Double Bed,395.0,1,0,1,1,0,0,1,1,1,0,1,Semi,29061
Palakkad,Double,King Bed,226.0,1,0,0,0,1,0,1,0,0,0,1,Semi,19687
Pala,Double,Queen Bed,153.0,0,1,1,0,0,0,1,1,1,1,0,Semi,17973
Alappuzha,Master,Bunk Bed,218.0,0,0,1,0,1,1,0,1,0,1,0,Unfurnished,16738
Thrissur,Double,Double Bed,235.0,1,0,1,1,0,0,1,1,0,1,1,Fully,24384
Surat,Double,Queen Bed,150.0,0,0,1,0,0,1,1,0,0,0,0,Unfurnished,18759
Ahmedabad,Single,Bunk Bed,106.0,1,1,0,0,0,1,0,1,1,0,1,Fully,19365
Kollam,Master,King Bed,180.0,1,1,1,1,1,0,0,1,0,0,0,Fully,25734
Kannur,Quad,Single Bed,446.0,0,1,1,0,1,1,0,0,1,1,1,Fully,32093
Kaloor,Studio,Queen Bed,349.0,0,0,0,0,0,1,1,1,0,0,1,Unfurnished,30498
Other,Double,Queen Bed,147.0,0,1,0,0,0,1,1,1,1,1,1,Unfurnished,19905
Palarivattom,Double,No Bed,136.0,1,1,0,1,1,0,1,1,1,1,0,Fully,23687
Bangalore,Double,Bunk Bed,140.0,0,1,0,0,0,1,1,0,1,1,1,Fully,37044
Edappally,Quad,No Bed,403.0,0,1,0,1,0,1,1,0,0,0,0,Semi,33249
Bangalore,Triple,No Bed,342.0,1,1,1,0,0,1,1,1,0,0,1,Semi,40758
Karukachal,Single,King Bed,145.0,1,0,0,0,1,0,0,1,0,0,0,Unfurnished,12947
Mumbai,Double,Double Bed,217.0,0,1,0,0,0,0,0,0,1,0,1,Semi,47099
Kannur,Master,Double Bed,278.0,1,1,1,1,1,0,1,0,1,0,0,Semi,21834
Surat,Studio,King Bed,331.0,0,0,0,0,0,0,1,1,0,1,0,Fully,31885
Kochi,Master,Double Bed,289.0,0,0,0,0,0,1,0,1,0,0,1,Fully,26494
Thrissur,Master,Single Bed,190.0,0,1,1,0,0,1,1,1,0,0,0,Semi,20327
Trivandrum,Master,King Bed,261.0,1,0,0,0,0,0,1,1,0,0,0,Unfurnished,26897
Palarivattom,Master,Single Bed,152.0,1,1,1,1,0,1,0,1,1,1,0,Semi,27955
Bangalore,Triple,Bunk Bed,269.0,1,0,0,0,1,0,0,1,1,0,0,Semi,38602
Jaipur,Studio,Bunk Bed,211.0,1,0,1,1,0,0,0,1,0,1,1,Semi,26704
Kalamassery,Single,Single Bed,115.0,0,0,1,0,0,1,0,0,0,1,0,Semi,10676
Kochi,Single,Bunk Bed,137.0,1,1,0,1,0,1,0,0,1,0,0,Fully,19381
Vyttila,Master,Double Bed,172.0,1,1,1,0,0,1,1,0,1,1,0,Fully,28157
Kannur,Double,No Bed,172.0,1,0,1,1,0,0,1,0,1,0,1,Fully,20290
Ahmedabad,Master,Queen Bed,175.0,0,0,1,1,0,0,0,0,0,1,1,Fully,29005
Fort Kochi,Studio,Bunk Bed,342.0,0,0,1,1,0,0,1,1,0,1,1,Fully,36677
Kozhikode,Double,Single Bed,202.0,0,1,0,1,0,0,1,1,0,1,1,Semi,18417
Chennai,Master,Queen Bed,247.0,0,1,1,1,0,0,1,0,0,0,1,Unfurnished,32539
Palarivattom,Single,Double Bed,82.0,1,1,1,0,0,0,0,0,0,1,0,Unfurnished,13580
Kakkanad,Triple,Queen Bed,361.0,1,1,0,1,0,0,0,0,0,0,1,Fully,32261
Palarivattom,Quad,No Bed,423.0,1,0,0,0,1,0,1,1,0,1,1,Unfurnished,32912
Kaloor,Master,King Bed,280.0,0,1,0,1,1,1,1,0,1,0,0,Fully,32648
Other,Triple,Single Bed,262.0,0,0,1,1,1,0,1,1,1,1,1,Fully,22380
Kannur,Triple,Bunk Bed,352.0,1,0,0,0,1,0,0,1,0,0,1,Semi,22701
Kaloor,Master,No Bed,168.0,1,1,0,1,0,1,0,0,1,1,1,Fully,27590
Mg Road,Master,Double Bed,153.0,0,1,0,0,1,0,1,0,0,0,0,Semi,25632
Kolkata,Triple,Bunk Bed,386.0,1,0,0,1,1,0,1,0,1,1,0,Fully,31921
Palakkad,Master,Double Bed,215.0,0,0,0,0,0,1,0,1,0,0,1,Semi,16646
Hyderabad,Quad,No Bed,512.0,1,1,0,1,1,0,1,1,0,0,1,Unfurnished,48963
Other,Triple,King Bed,396.0,1,0,0,1,0,1,0,1,0,0,1,Unfurnished,25164
Kollam,Single,Queen Bed,108.0,1,0,1,1,0,1,0,0,0,1,0,Fully,17850
Kakkanad,Single,Double Bed,86.0,0,0,1,0,1,1,0,0,0,0,1,Fully,16296
Trivandrum,Studio,Queen Bed,261.0,1,1,1,1,1,1,1,1,0,0,1,Fully,35737
Fort Kochi,Quad,Queen Bed,419.0,0,1,0,1,0,0,1,1,1,0,1,Semi,46324
Kakkanad,Triple,Double Bed,423.0,0,0,1,0,0,0,0,1,0,1,0,Fully,29213
Ranni,Quad,Double Bed,578.0,1,1,0,0,0,0,0,0,0,1,1,Semi,26177
Pune,Master,No Bed,228.0,0,0,0,1,1,0,0,0,1,1,1,Unfurnished,29234
Pala,Master,Single Bed,296.0,1,0,0,1,1,1,1,0,1,1,1,Fully,22595
Aluva,Master,Queen Bed,164.0,1,1,0,0,0,0,0,1,1,1,1,Semi,22639
Pune,Double,Bunk Bed,124.0,1,0,0,0,1,0,0,0,0,0,0,Fully,29106
Mg Road,Triple,Queen Bed,275.0,1,1,1,1,1,1,1,1,1,1,0,Fully,36621
Mumbai,Double,Single Bed,218.0,0,0,0,1,1,0,0,1,1,0,1,Semi,44507
Palakkad,Master,Bunk Bed,159.0,1,1,0,0,1,1,0,0,0,1,0,Unfurnished,14456
Kochi,Single,Bunk Bed,145.0,1,1,1,0,1,0,1,1,1,0,0,Fully,19834
Other,Quad,Bunk Bed,391.0,0,1,1,1,0,0,0,0,0,0,1,Fully,29156
Aluva,Double,Queen Bed,166.0,0,1,0,0,1,1,0,1,0,0,1,Semi,19817
Delhi,Triple,Bunk Bed,254.0,0,0,1,0,1,0,1,0,0,1,1,Unfurnished,35358
Fort Kochi,Single,No Bed,147.0,1,0,1,1,1,1,0,0,1,1,1,Unfurnished,17880
Kannur,Double,No Bed,242.0,0,0,0,0,0,1,0,1,1,0,1,Fully,18556
Kannur,Quad,Single Bed,439.0,1,0,1,1,0,0,1,0,0,1,0,Semi,26235
Kalamassery,Master,No Bed,284.0,0,0,1,1,0,1,1,1,0,0,1,Unfurnished,19853
Chennai,Double,Bunk Bed,215.0,1,0,1,0,1,0,0,1,0,1,0,Semi,25686
Kalamassery,Double,Double Bed,171.0,0,0,0,0,1,1,0,0,0,0,0,Unfurnished,13945
Kaloor,Studio,Single Bed,348.0,1,1,1,0,1,0,1,1,1,0,1,Unfurnished,31630
Chennai,Quad,Double Bed,522.0,1,1,0,0,0,1,1,0,1,0,0,Fully,49822
Thrissur,Single,No Bed,126.0,1,1,0,0,0,0,1,0,1,0,1,Unfurnished,12701
Vyttila,Single,Queen Bed,93.0,1,0,0,0,0,0,1,0,0,1,0,Semi,17490
Kollam,Single,Bunk Bed,109.0,1,1,1,1,1,0,0,1,0,0,0,Semi,13944
Kaloor,Double,King Bed,143.0,1,1,0,0,1,0,1,0,0,0,0,Fully,26816
Surat,Studio,Single Bed,296.0,1,1,0,0,0,0,1,0,1,1,0,Fully,32127
Pathanamthitta,Double,King Bed,188.0,1,1,0,0,1,0,0,1,1,0,0,Semi,19628
Kolkata,Triple,Single Bed,274.0,1,1,1,0,0,1,1,0,0,1,1,Semi,32534
Palarivattom,Triple,King Bed,266.0,1,0,0,0,0,1,1,0,0,0,1,Fully,36243
Surat,Quad,Bunk Bed,554.0,0,0,0,0,0,0,0,1,0,0,0,Unfurnished,30410
Kaloor,Triple,King Bed,409.0,0,0,0,0,1,1,1,0,0,1,1,Fully,33805
Pune,Quad,King Bed,588.0,0,1,0,1,0,0,0,1,1,0,1,Fully,53637
Kottayam,Triple,Queen Bed,416.0,0,1,0,1,0,0,0,0,1,1,1,Semi,24680
Hyderabad,Double,Queen Bed,198.0,1,1,0,1,0,0,1,1,1,1,0,Semi,33550
Changanassery,Single,Bunk Bed,106.0,0,0,1,1,1,1,1,0,1,1,1,Unfurnished,12471
Pathanamthitta,Quad,Double Bed,461.0,0,0,0,1,0,0,0,1,0,0,1,Unfurnished,23046
Jaipur,Quad,Bunk Bed,599.0,0,1,0,1,1,1,0,1,1,0,1,Fully,37925
Bangalore,Master,Queen Bed,243.0,0,0,1,1,0,0,1,1,0,0,1,Semi,35955
Kaloor,Single,Double Bed,134.0,1,0,0,0,1,0,0,1,0,1,1,Semi,17490
Fort Kochi,Quad,No Bed,362.0,1,1,0,0,1,1,0,1,0,1,1,Fully,42546
Kannur,Triple,Bunk Bed,295.0,0,1,0,0,1,1,1,1,0,1,1,Fully,26215
Palakkad,Master,Single Bed,200.0,1,0,1,0,1,0,1,0,0,1,0,Fully,18275
Pala,Quad,Queen Bed,437.0,0,0,0,0,1,1,1,0,1,1,0,Unfurnished,25474
Vyttila,Quad,Queen Bed,518.0,1,1,1,0,1,0,1,1,1,0,1,Semi,43560
Chennai,Triple,Queen Bed,272.0,0,0,1,0,0,1,1,0,1,1,1,Semi,33705
Kollam,Single,King Bed,90.0,0,1,0,1,0,1,1,0,1,0,1,Fully,20427
Fort Kochi,Single,Queen Bed,126.0,1,0,0,0,0,1,0,0,1,0,1,Unfurnished,19276
Surat,Single,Single Bed,129.0,1,0,1,1,0,1,1,1,0,1,0,Semi,16396
Ahmedabad,Triple,King Bed,263.0,0,0,0,0,1,0,0,0,0,0,0,Unfurnished,31541
Kaloor,Master,No Bed,273.0,0,1,0,1,1,1,0,1,0,0,1,Semi,26118
Surat,Double,Bunk Bed,152.0,0,0,1,1,0,1,0,0,0,0,0,Fully,22545
Ranni,Master,No Bed,236.0,0,0,1,0,1,0,1,0,0,1,0,Semi,13415
Fort Kochi,Double,Double Bed,234.0,0,1,1,1,0,1,1,1,1,1,0,Semi,28212
Kaloor,Quad,Bunk Bed,458.0,0,1,1,0,0,0,0,0,1,1,1,Semi,36311
Vyttila,Single,Single Bed,148.0,0,1,0,0,1,0,0,1,0,1,0,Semi,14648
Aluva,Triple,Single Bed,430.0,1,1,1,0,0,0,0,1,1,0,0,Semi,24580
Pathanamthitta,Studio,Bunk Bed,381.0,0,1,1,1,0,0,0,1,0,0,0,Unfurnished,19331
Kalamassery,Quad,Bunk Bed,562.0,1,1,0,1,0,1,0,0,1,0,0,Fully,32673
Kakkanad,Studio,Queen Bed,350.0,0,1,1,0,1,0,0,1,0,1,1,Unfurnished,27023
Palarivattom,Triple,Queen Bed,317.0,0,0,0,1,1,0,1,1,0,1,0,Fully,32143
Pune,Single,Double Bed,89.0,1,0,0,0,1,0,0,1,0,0,0,Fully,20894
Jaipur,Double,Queen Bed,165.0,1,0,1,0,1,0,0,1,1,1,0,Fully,23437
Alappuzha,Quad,King Bed,521.0,1,1,1,1,0,0,1,1,1,0,1,Unfurnished,32616
Other,Studio,Double Bed,326.0,0,0,1,0,1,0,0,0,1,0,0,Semi,20208
Kozhikode,Master,Bunk Bed,263.0,0,0,1,1,1,1,1,1,0,1,1,Semi,24964
Kalamassery,Single,Queen Bed,135.0,1,1,0,0,1,1,1,1,1,0,0,Semi,18444
Kottayam,Studio,No Bed,331.0,1,1,1,1,0,0,0,0,1,1,0,Unfurnished,23218
Palarivattom,Quad,Bunk Bed,390.0,0,0,0,1,0,1,0,1,0,1,1,Fully,36425
Kolkata,Single,Queen Bed,122.0,0,1,0,1,1,1,0,1,0,1,0,Semi,19604
Kozhikode,Double,No Bed,206.0,0,0,0,0,1,0,1,0,0,0,1,Unfurnished,15626
Palarivattom,Double,Double Bed,120.0,1,0,1,0,1,0,1,1,0,0,0,Semi,24314
Bangalore,Double,Single Bed,219.0,0,0,1,1,0,1,1,0,1,0,1,Semi,33333
Hyderabad,Studio,Bunk Bed,279.0,0,0,0,1,0,1,1,1,0,0,0,Semi,37705
Palarivattom,Single,Queen Bed,90.0,0,1,1,0,0,0,0,1,0,1,1,Semi,18382
Kollam,Master,Bunk Bed,273.0,1,0,1,1,1,0,0,0,0,0,1,Unfurnished,19943
Changanassery,Quad,King Bed,445.0,0,1,0,1,1,1,1,1,1,1,1,Semi,33339
Mumbai,Quad,No Bed,594.0,1,0,0,1,0,0,0,1,1,1,0,Unfurnished,78734
Kalamassery,Triple,King Bed,275.0,0,1,1,1,0,1,1,0,0,1,0,Semi,28750
Aluva,Quad,Queen Bed,565.0,1,1,0,0,0,0,0,1,0,0,0,Unfurnished,27722
Pala,Studio,No Bed,306.0,0,1,1,1,1,1,1,0,1,1,0,Unfurnished,20635
Palakkad,Double,King Bed,213.0,0,1,1,1,0,1,1,1,1,0,1,Unfurnished,21713
Edappally,Studio,Bunk Bed,343.0,1,1,0,0,0,0,0,0,0,1,1,Semi,29815
Chennai,Triple,Bunk Bed,378.0,0,1,1,0,1,0,0,1,1,0,1,Semi,36661
Kozhikode,Triple,King Bed,414.0,0,1,1,0,1,0,0,1,1,1,1,Unfurnished,31154
Thrissur,Triple,Single Bed,325.0,1,0,1,0,1,1,1,0,1,0,1,Fully,25384
Palarivattom,Single,Double Bed,90.0,1,0,1,0,0,0,1,0,1,1,0,Semi,15930
Pune,Double,Single Bed,206.0,0,0,1,0,0,0,0,0,1,1,1,Semi,26207
Kolkata,Master,Double Bed,171.0,1,1,0,1,0,0,1,0,1,0,1,Fully,29604
Ranni,Studio,Double Bed,254.0,0,0,1,1,1,1,0,0,0,1,1,Fully,21067
Ranni,Quad,Queen Bed,529.0,1,1,1,1,1,0,0,1,1,1,1,Semi,31192
Pune,Studio,King Bed,380.0,1,1,1,1,0,0,1,0,0,0,1,Semi,48874
Pathanamthitta,Master,No Bed,160.0,1,1,0,0,1,1,0,1,1,1,0,Semi,17459
Delhi,Studio,Double Bed,278.0,1,1,0,1,1,1,1,1,1,0,0,Unfurnished,39747
Trivandrum,Single,Single Bed,144.0,1,1,1,1,1,0,0,0,1,0,1,Unfurnished,14416
Aluva,Studio,Queen Bed,234.0,1,1,1,0,1,1,0,1,0,0,1,Unfurnished,24213
Kolkata,Triple,Queen Bed,421.0,0,0,0,0,1,1,1,0,0,0,0,Fully,32233
Delhi,Triple,Single Bed,357.0,0,0,0,0,1,1,0,1,1,0,1,Unfurnished,40813
Mumbai,Triple,Single Bed,358.0,0,1,1,0,1,0,0,1,1,0,1,Semi,65358
Trivandrum,Single,Queen Bed,81.0,1,0,1,0,0,1,0,1,0,1,1,Fully,20184
Kalamassery,Single,Bunk Bed,144.0,1,0,0,0,0,0,1,1,1,1,0,Fully,16834
Other,Triple,Single Bed,282.0,0,0,1,1,0,1,1,0,1,0,1,Fully,24236
Kakkanad,Single,Bunk Bed,134.0,0,0,1,1,0,0,1,0,1,1,0,Unfurnished,12255
Kochi,Single,King Bed,128.0,1,1,0,0,0,0,0,0,0,0,1,Semi,17446
Kaloor,Quad,King Bed,476.0,1,0,1,0,1,1,0,0,0,0,0,Fully,39444
Thrissur,Quad,Single Bed,562.0,1,0,1,1,1,0,1,0,1,1,1,Unfurnished,33138
Delhi,Single,Double Bed,121.0,0,0,1,0,1,0,1,0,1,1,1,Unfurnished,19919
Kochi,Triple,Double Bed,390.0,0,1,0,0,0,0,0,1,1,0,0,Unfurnished,26302
Palarivattom,Triple,Queen Bed,422.0,0,0,1,1,0,0,1,0,0,1,0,Unfurnished,27693
Palakkad,Master,Single Bed,208.0,1,0,1,0,0,1,1,1,0,1,0,Fully,20436
Kannur,Double,Queen Bed,173.0,0,0,0,0,1,1,1,0,1,0,0,Fully,18799
Other,Single,Bunk Bed,122.0,0,0,1,0,1,1,0,0,1,1,1,Fully,15612
Pala,Single,Bunk Bed,94.0,1,1,0,1,1,0,1,1,0,1,1,Unfurnished,12376
Kollam,Studio,Double Bed,316.0,1,0,1,1,0,0,0,1,0,0,1,Semi,24384
Kottayam,Double,Queen Bed,166.0,1,0,1,1,0,0,0,0,0,0,1,Semi,20112
Chennai,Double,Double Bed,226.0,0,0,0,0,1,1,0,1,0,0,1,Fully,28459
Pala,Single,King Bed,132.0,1,1,1,0,0,0,1,1,1,0,1,Fully,20261
Pathanamthitta,Triple,Bunk Bed,430.0,1,1,0,1,1,0,0,0,1,1,1,Fully,25650
Mumbai,Studio,Queen Bed,213.0,1,1,0,0,0,0,1,1,0,1,1,Unfurnished,62956
Fort Kochi,Triple,Queen Bed,289.0,1,0,1,1,1,1,0,0,0,1,1,Fully,39730
Chennai,Master,Bunk Bed,295.0,1,1,0,0,0,0,0,1,1,1,1,Fully,30917
Delhi,Single,Single Bed,147.0,1,0,0,0,1,1,0,1,0,1,1,Unfurnished,21141
Palakkad,Double,Bunk Bed,141.0,0,1,0,0,1,1,0,1,1,1,0,Fully,18754
Mg Road,Double,Bunk Bed,132.0,1,1,1,1,0,0,1,0,0,0,1,Semi,24687
Karukachal,Single,King Bed,126.0,0,1,1,0,0,1,0,1,1,1,1,Semi,17527
Fort Kochi,Master,King Bed,230.0,1,1,1,0,0,0,0,1,1,1,1,Unfurnished,34063
Ranni,Quad,No Bed,358.0,0,0,0,1,1,0,0,1,1,1,0,Fully,22600
Thrissur,Studio,Bunk Bed,282.0,1,0,1,0,0,0,0,1,1,1,0,Fully,25676
Palakkad,Double,No Bed,207.0,0,0,1,1,1,1,1,0,1,0,1,Fully,18712
Bangalore,Studio,No Bed,298.0,1,0,0,1,1,1,0,0,1,0,1,Fully,45735
Kaloor,Single,Double Bed,103.0,0,0,0,0,0,1,1,1,0,0,0,Semi,15022
Delhi,Quad,Single Bed,448.0,1,1,1,1,0,1,1,1,1,0,1,Unfurnished,54994
Mg Road,Master,No Bed,159.0,0,0,0,0,1,0,1,0,0,1,1,Fully,22684
Palarivattom,Quad,No Bed,600.0,1,0,0,1,0,0,1,0,1,1,1,Unfurnished,34705
Pune,Master,Queen Bed,243.0,1,0,1,1,0,0,0,1,1,0,0,Unfurnished,33860
Fort Kochi,Triple,No Bed,272.0,1,1,0,0,0,1,0,0,0,1,1,Fully,30974
Kochi,Single,Queen Bed,104.0,0,1,1,0,0,0,0,1,1,0,1,Unfurnished,14830
Kozhikode,Triple,Single Bed,385.0,0,0,0,1,1,0,0,1,1,1,0,Fully,25263
Trivandrum,Double,Single Bed,194.0,1,1,1,1,1,0,0,1,1,0,1,Semi,22823
Other,Double,Double Bed,246.0,1,0,0,1,1,0,1,0,1,1,1,Fully,23789
Thrissur,Studio,No Bed,270.0,0,0,0,0,0,1,0,0,1,0,1,Semi,22257
Thrissur,Triple,King Bed,314.0,0,0,1,1,1,0,1,1,1,1,0,Fully,28961
Trivandrum,Triple,Bunk Bed,339.0,1,0,1,1,1,1,1,1,1,1,1,Unfurnished,28091
Bangalore,Single,Bunk Bed,150.0,1,0,1,0,0,1,1,0,1,0,0,Fully,23859
Kozhikode,Studio,Double Bed,282.0,1,1,0,0,0,1,0,0,1,1,1,Semi,25445
Chennai,Triple,Single Bed,333.0,0,1,1,0,0,0,0,1,0,1,1,Unfurnished,32270
Trivandrum,Quad,Double Bed,382.0,0,1,1,0,1,0,1,1,1,1,1,Unfurnished,33633
Other,Quad,Single Bed,565.0,0,1,1,1,0,1,0,1,1,1,0,Semi,30628
